Time,lowAlpha,highAlpha,lowBeta,highBeta
328.572963953,30886,20796,21456,6279
329.567111015,21066,20958,16868,9764
330.576972008,11601,8045,18537,45544
331.559614897,19325,39237,25314,30993
332.558222055,2544,1627,4228,4860
333.563154936,6969,30059,13281,15252
334.544504881,802,2669,3378,12639
335.553278923,1288,879,595,996
336.556993961,5227,3536,2997,2610
337.535844088,9899,3518,5224,1473
338.543229103,10498,4560,3645,5597
339.54479599,3428,7270,4053,2928
340.523058891,29210,35821,26919,29541
341.529637098,4971,4584,6032,4406
342.528320074,31978,40698,18498,22636
343.521861076,1310,1257,1248,2499
344.521703959,4177,1768,7421,3450
345.500659943,6819,25927,50546,28384
346.507989883,12249,3127,9134,3590
347.513500929,3954,1574,1417,1234
348.488178015,3431,2790,808,5126
349.498082876,2231,2790,631,3686
350.497260094,3221,8330,2597,3960
351.483201027,4753,2743,3547,3613
352.488069057,3786,3863,2710,4203
353.488137007,4104,4429,1332,3981
354.4695189,3076,3163,2911,3936
355.470715046,545,1212,1868,456
356.475713968,9176,3383,9095,6967
357.463531017,12967,13007,13362,9227
358.465528965,2021,508,3126,2454
359.463154078,7788,11008,15854,9275
360.445723057,4203,1363,5965,3602
361.454602957,78212,15267,19766,30168
362.45719409,5535,1852,4036,1272
363.435684919,4668,6995,3300,3753
364.442307949,18622,6241,13472,4447
365.448137999,5819,3475,4589,5306
366.424916029,2150,765,2580,2591
367.433376074,2359,2213,2535,3390
368.438328981,3138,1082,1965,2214
369.418395042,2415,3170,1487,4380
370.400911093,623,1883,1409,2189
371.428849936,3859,2442,3679,4520
372.404923916,2074,2232,3312,1284
373.388330936,2177,3007,1040,2327
374.413484097,966,528,4332,2542
375.400913,1504,2283,2456,3495
376.377181053,6102,4333,3126,1745
377.4021101,1638,666,1470,2736
378.393394947,1858,406,1810,4694
379.367120981,9289,10935,6784,7974
380.389589071,2862,5047,24297,20984
381.373507023,2725,3316,3653,4074
382.359746933,18248,20456,17361,15939
383.377207994,4539,4298,2809,3971
384.369786978,3627,1500,3828,3664
385.348506927,4452,9830,7525,11109
386.374751091,3014,2374,6748,5492
387.359658957,6230,4099,4071,3331
388.343813896,1175,1892,833,653
389.362243891,596,1043,2326,1392
390.345226049,10758,3005,1448,1955
391.333929062,2707,3752,4686,16894
392.35124588,1447,1149,2991,1279
